County,Brand,Count
ada,Tesla,6
adams,Polaris,1
alachua,Bmw,1
albany,Tesla,6
alexandria city,Audi,3
allegheny,Tesla,1
allen,Toyota,6
anne arundel,Gem,2
anne arundel,Tesla,8
arapahoe,Tesla,1
atlantic,Audi,30
atlantic,Bmw,277
atlantic,Cadillac,40
atlantic,Chevrolet,391
atlantic,Chrysler,56
atlantic,Fiat,4
atlantic,Fisker automotive,18
atlantic,Ford,454
atlantic,Gem,39
atlantic,Honda,89
atlantic,Hyundai,141
atlantic,Jeep,24
atlantic,Kia,144
atlantic,Land rover,7
atlantic,Lexus,4
atlantic,Lincoln,14
atlantic,Lucid motors,1
atlantic,Mercedes-benz,25
atlantic,Mini,10
atlantic,Mitsubishi,24
atlantic,Nissan,125
atlantic,Polaris,17
atlantic,Polestar,6
atlantic,Porsche,72
atlantic,Smart,39
atlantic,Subaru,15
atlantic,Tesla,1221
atlantic,Th!nk,4
atlantic,Toyota,455
atlantic,Volkswagen,48
atlantic,Volvo,39
baltimore,Audi,3
baltimore,Bmw,3
baltimore,Chevrolet,18
baltimore,Mitsubishi,13
baltimore,Polaris,8
baltimore,Toyota,4
beaufort,Chevrolet,1
beaufort,Volvo,1
bergen,Audi,539
bergen,Azure dynamics,2
bergen,Bentley,1
bergen,Bmw,3547
bergen,Cadillac,89
bergen,Chevrolet,1700
bergen,Chrysler,315
bergen,Ferrari,4
bergen,Fiat,62
bergen,Fisker automotive,27
bergen,Ford,1954
bergen,Gem,116
bergen,Gmc,3
bergen,Honda,508
bergen,Hyundai,1084
bergen,Jaguar,128
bergen,Jeep,168
bergen,Karma,7
bergen,Kia,320
bergen,Land rover,63
bergen,Lexus,7
bergen,Lincoln,64
bergen,Lucid motors,4
bergen,Mclaren,11
bergen,Mercedes-benz,254
bergen,Mini,160
bergen,Mitsubishi,100
bergen,Nissan,822
bergen,Polaris,67
bergen,Polestar,80
bergen,Porsche,855
bergen,Rivian,1
bergen,Smart,302
bergen,Subaru,129
bergen,Tesla,6806
bergen,Toyota,2134
bergen,Volkswagen,209
bergen,Volvo,728
bergen,Workhorse,4
berkshire,Tesla,1
bexar,Tesla,3
bladen,Tesla,5
brazos,Ford,1
bristol,Tesla,4
bronx,Tesla,7
broward,Bmw,7
broward,Tesla,22
bucks,Audi,4
bucks,Bmw,1
bucks,Ford,3
bucks,Gem,3
bucks,Polaris,38
bucks,Smart,7
bucks,Tesla,61
burke,Ford,2
burlington,Audi,116
burlington,Bentley,3
burlington,Bmw,481
burlington,Cadillac,69
burlington,Chevrolet,1040
burlington,Chrysler,158
burlington,Fiat,26
